6-monthly,Cause of injury,State or territory,Calendar year,Breakdown value,Hospitalisations,Bed days,Breakdown type,Data level
Jan-Jun,Traffic,VIC,2018,65-74,449,4029,Age group,State/Territory
Jan-Jun,Traffic,VIC,2018,75+,381,4608,Age group,State/Territory
Jan-Jun,Traffic,VIC,2018,8-16,276,666,Age group,State/Territory
Jan-Jun,Traffic,QLD,2018,0-7,92,224,Age group,State/Territory
Jan-Jun,Traffic,QLD,2018,17-25,963,3041,Age group,State/Territory
Jan-Jun,Traffic,QLD,2018,26-39,1100,4082,Age group,State/Territory
Jan-Jun,Traffic,QLD,2018,40-64,1514,6943,Age group,State/Territory
Jan-Jun,Traffic,QLD,2018,65-74,303,2584,Age group,State/Territory
Jan-Jun,Traffic,QLD,2018,75+,236,2351,Age group,State/Territory
Jan-Jun,Traffic,QLD,2018,8-16,339,650,Age group,State/Territory
Jan-Jun,Traffic,WA,2018,0-7,38,215,Age group,State/Territory
Jan-Jun,Traffic,WA,2018,17-25,317,1100,Age group,State/Territory
Jan-Jun,Traffic,WA,2018,26-39,416,2030,Age group,State/Territory
Jan-Jun,Traffic,WA,2018,40-64,543,2420,Age group,State/Territory
Jan-Jun,Traffic,WA,2018,65-74,105,1070,Age group,State/Territory
Jan-Jun,Traffic,WA,2018,75+,85,737,Age group,State/Territory
Jan-Jun,Traffic,WA,2018,8-16,135,355,Age group,State/Territory
Jan-Jun,Traffic,SA,2018,0-7,23,172,Age group,State/Territory
Jan-Jun,Traffic,SA,2018,17-25,229,1110,Age group,State/Territory
Jan-Jun,Traffic,SA,2018,26-39,263,1317,Age group,State/Territory
Jan-Jun,Traffic,SA,2018,40-64,421,2140,Age group,State/Territory
Jan-Jun,Traffic,SA,2018,65-74,102,816,Age group,State/Territory
Jan-Jun,Traffic,SA,2018,75+,89,688,Age group,State/Territory
Jan-Jun,Traffic,SA,2018,8-16,89,244,Age group,State/Territory
Jan-Jun,Traffic,TAS,2018,17-25,80,401,Age group,State/Territory
Jan-Jun,Traffic,TAS,2018,26-39,71,231,Age group,State/Territory
Jan-Jun,Traffic,TAS,2018,40-64,132,716,Age group,State/Territory
Jan-Jun,Traffic,TAS,2018,65-74,38,196,Age group,State/Territory
Jan-Jun,Traffic,TAS,2018,8-16,22,46,Age group,State/Territory
Jan-Jun,Traffic,ACT,2018,0-7,9,17,Age group,State/Territory
Jan-Jun,Traffic,ACT,2018,17-25,62,229,Age group,State/Territory
Jan-Jun,Traffic,ACT,2018,26-39,92,263,Age group,State/Territory
Jan-Jun,Traffic,ACT,2018,40-64,142,379,Age group,State/Territory
Jan-Jun,Traffic,ACT,2018,65-74,24,134,Age group,State/Territory
Jan-Jun,Traffic,ACT,2018,75+,22,171,Age group,State/Territory
Jan-Jun,Traffic,ACT,2018,8-16,17,52,Age group,State/Territory
Jan-Jun,Traffic,NT,2018,17-25,105,428,Age group,State/Territory
Jan-Jun,Traffic,NT,2018,26-39,138,905,Age group,State/Territory
Jan-Jun,Traffic,NT,2018,40-64,116,429,Age group,State/Territory
Jan-Jun,Traffic,NT,2018,65-74,7,66,Age group,State/Territory
Jan-Jun,Traffic,NT,2018,8-16,38,232,Age group,State/Territory
Jul-Dec,Traffic,NSW,2018,0-7,67,478,Age group,State/Territory
Jul-Dec,Traffic,NSW,2018,17-25,966,6193,Age group,State/Territory
Jul-Dec,Traffic,NSW,2018,26-39,1130,4581,Age group,State/Territory
Jul-Dec,Traffic,NSW,2018,40-64,1634,10953,Age group,State/Territory
Jul-Dec,Traffic,NSW,2018,65-74,401,3738,Age group,State/Territory
Jul-Dec,Traffic,NSW,2018,75+,398,4912,Age group,State/Territory
Jul-Dec,Traffic,NSW,2018,8-16,281,1021,Age group,State/Territory
Jul-Dec,Traffic,VIC,2018,0-7,102,346,Age group,State/Territory
Jul-Dec,Traffic,VIC,2018,17-25,1129,4844,Age group,State/Territory
Jul-Dec,Traffic,VIC,2018,26-39,1336,5795,Age group,State/Territory
Jul-Dec,Traffic,VIC,2018,40-64,1819,10981,Age group,State/Territory
Jul-Dec,Traffic,VIC,2018,65-74,451,3618,Age group,State/Territory
Jul-Dec,Traffic,VIC,2018,75+,414,5274,Age group,State/Territory
Jul-Dec,Traffic,VIC,2018,8-16,301,655,Age group,State/Territory
Jul-Dec,Traffic,QLD,2018,0-7,112,169,Age group,State/Territory
Jul-Dec,Traffic,QLD,2018,17-25,1098,3386,Age group,State/Territory
Jul-Dec,Traffic,QLD,2018,26-39,1186,4153,Age group,State/Territory
Jul-Dec,Traffic,QLD,2018,40-64,1538,6160,Age group,State/Territory
Jul-Dec,Traffic,QLD,2018,65-74,318,1967,Age group,State/Territory
Jul-Dec,Traffic,QLD,2018,75+,250,2399,Age group,State/Territory
Jul-Dec,Traffic,QLD,2018,8-16,332,730,Age group,State/Territory
Jul-Dec,Traffic,WA,2018,0-7,38,222,Age group,State/Territory
Jul-Dec,Traffic,WA,2018,17-25,310,934,Age group,State/Territory
Jul-Dec,Traffic,WA,2018,26-39,392,1862,Age group,State/Territory
Jul-Dec,Traffic,WA,2018,40-64,568,2139,Age group,State/Territory
Jul-Dec,Traffic,WA,2018,65-74,112,468,Age group,State/Territory
Jul-Dec,Traffic,WA,2018,75+,91,1065,Age group,State/Territory
Jul-Dec,Traffic,WA,2018,8-16,124,463,Age group,State/Territory
Jul-Dec,Traffic,SA,2018,0-7,13,75,Age group,State/Territory
Jul-Dec,Traffic,SA,2018,17-25,253,1150,Age group,State/Territory
Jul-Dec,Traffic,SA,2018,26-39,309,970,Age group,State/Territory
Jul-Dec,Traffic,SA,2018,40-64,432,2577,Age group,State/Territory
Jul-Dec,Traffic,SA,2018,65-74,78,533,Age group,State/Territory
Jul-Dec,Traffic,SA,2018,75+,98,615,Age group,State/Territory
Jul-Dec,Traffic,SA,2018,8-16,90,251,Age group,State/Territory
Jul-Dec,Traffic,TAS,2018,0-7,8,10,Age group,State/Territory
Jul-Dec,Traffic,TAS,2018,17-25,84,646,Age group,State/Territory
Jul-Dec,Traffic,TAS,2018,26-39,90,635,Age group,State/Territory
Jul-Dec,Traffic,TAS,2018,40-64,134,789,Age group,State/Territory
Jul-Dec,Traffic,TAS,2018,65-74,31,380,Age group,State/Territory
Jul-Dec,Traffic,TAS,2018,75+,30,299,Age group,State/Territory
Jul-Dec,Traffic,TAS,2018,8-16,32,66,Age group,State/Territory
Jul-Dec,Traffic,ACT,2018,0-7,5,7,Age group,State/Territory
Jul-Dec,Traffic,ACT,2018,17-25,81,201,Age group,State/Territory
Jul-Dec,Traffic,ACT,2018,26-39,79,501,Age group,State/Territory
Jul-Dec,Traffic,ACT,2018,40-64,106,434,Age group,State/Territory
Jul-Dec,Traffic,ACT,2018,65-74,26,147,Age group,State/Territory
Jul-Dec,Traffic,ACT,2018,75+,27,362,Age group,State/Territory
Jul-Dec,Traffic,ACT,2018,8-16,20,87,Age group,State/Territory
Jul-Dec,Traffic,NT,2018,0-7,12,23,Age group,State/Territory
Jul-Dec,Traffic,NT,2018,17-25,116,915,Age group,State/Territory
Jul-Dec,Traffic,NT,2018,26-39,118,748,Age group,State/Territory
Jul-Dec,Traffic,NT,2018,40-64,125,999,Age group,State/Territory
Jul-Dec,Traffic,NT,2018,65-74,14,204,Age group,State/Territory
Jul-Dec,Traffic,NT,2018,75+,7,80,Age group,State/Territory
Jul-Dec,Traffic,NT,2018,8-16,28,127,Age group,State/Territory
Jan-Jun,Traffic,NSW,2019,0-7,71,621,Age group,State/Territory
Jan-Jun,Traffic,NSW,2019,17-25,1015,5852,Age group,State/Territory
Jan-Jun,Traffic,NSW,2019,26-39,1134,5419,Age group,State/Territory
Jan-Jun,Traffic,NSW,2019,40-64,1710,10582,Age group,State/Territory
Jan-Jun,Traffic,NSW,2019,65-74,383,3630,Age group,State/Territory
Jan-Jun,Traffic,NSW,2019,75+,393,4952,Age group,State/Territory
Jan-Jun,Traffic,NSW,2019,8-16,283,1013,Age group,State/Territory
Jan-Jun,Traffic,VIC,2019,0-7,99,327,Age group,State/Territory
Jan-Jun,Traffic,VIC,2019,17-25,1189,6164,Age group,State/Territory
Jan-Jun,Traffic,VIC,2019,26-39,1525,6474,Age group,State/Territory
Jan-Jun,Traffic,VIC,2019,40-64,1973,10005,Age group,State/Territory
Jan-Jun,Traffic,VIC,2019,65-74,434,2863,Age group,State/Territory
Jan-Jun,Traffic,VIC,2019,75+,388,4096,Age group,State/Territory
Jan-Jun,Traffic,VIC,2019,8-16,295,740,Age group,State/Territory
Jan-Jun,Traffic,QLD,2019,0-7,85,267,Age group,State/Territory
Jan-Jun,Traffic,QLD,2019,17-25,963,2925,Age group,State/Territory
Jan-Jun,Traffic,QLD,2019,26-39,1091,4215,Age group,State/Territory
Jan-Jun,Traffic,QLD,2019,40-64,1585,6803,Age group,State/Territory
Jan-Jun,Traffic,QLD,2019,65-74,349,2410,Age group,State/Territory
Jan-Jun,Traffic,QLD,2019,75+,246,1834,Age group,State/Territory
Jan-Jun,Traffic,QLD,2019,8-16,324,708,Age group,State/Territory
Jan-Jun,Traffic,WA,2019,0-7,51,112,Age group,State/Territory
Jan-Jun,Traffic,WA,2019,17-25,288,1146,Age group,State/Territory
Jan-Jun,Traffic,WA,2019,26-39,419,1909,Age group,State/Territory
Jan-Jun,Traffic,WA,2019,40-64,585,3295,Age group,State/Territory
Jan-Jun,Traffic,WA,2019,65-74,117,761,Age group,State/Territory
Jan-Jun,Traffic,WA,2019,75+,94,1032,Age group,State/Territory
Jan-Jun,Traffic,WA,2019,8-16,125,247,Age group,State/Territory
Jan-Jun,Traffic,SA,2019,0-7,27,49,Age group,State/Territory
Jan-Jun,Traffic,SA,2019,17-25,240,916,Age group,State/Territory
Jan-Jun,Traffic,SA,2019,26-39,281,1073,Age group,State/Territory
Jan-Jun,Traffic,SA,2019,40-64,409,1792,Age group,State/Territory
Jan-Jun,Traffic,SA,2019,65-74,113,572,Age group,State/Territory
Jan-Jun,Traffic,SA,2019,75+,69,641,Age group,State/Territory
Jan-Jun,Traffic,SA,2019,8-16,82,179,Age group,State/Territory
Jan-Jun,Traffic,TAS,2019,0-7,8,10,Age group,State/Territory
Jan-Jun,Traffic,TAS,2019,17-25,94,360,Age group,State/Territory
Jan-Jun,Traffic,TAS,2019,26-39,81,739,Age group,State/Territory
Jan-Jun,Traffic,TAS,2019,40-64,114,960,Age group,State/Territory
Jan-Jun,Traffic,TAS,2019,65-74,29,164,Age group,State/Territory
Jan-Jun,Traffic,TAS,2019,75+,34,292,Age group,State/Territory
Jan-Jun,Traffic,TAS,2019,8-16,28,56,Age group,State/Territory
Jan-Jun,Traffic,ACT,2019,17-25,71,302,Age group,State/Territory
Jan-Jun,Traffic,ACT,2019,26-39,95,305,Age group,State/Territory
Jan-Jun,Traffic,ACT,2019,40-64,120,437,Age group,State/Territory
Jan-Jun,Traffic,ACT,2019,65-74,29,132,Age group,State/Territory
Jan-Jun,Traffic,ACT,2019,8-16,29,37,Age group,State/Territory
Jan-Jun,Traffic,NT,2019,17-25,93,510,Age group,State/Territory
Jan-Jun,Traffic,NT,2019,26-39,98,438,Age group,State/Territory
Jan-Jun,Traffic,NT,2019,40-64,81,486,Age group,State/Territory
Jan-Jun,Traffic,NT,2019,65-74,12,87,Age group,State/Territory
Jan-Jun,Traffic,NT,2019,8-16,20,30,Age group,State/Territory
Jul-Dec,Traffic,NSW,2019,0-7,78,310,Age group,State/Territory
Jul-Dec,Traffic,NSW,2019,17-25,935,4633,Age group,State/Territory
Jul-Dec,Traffic,NSW,2019,26-39,1106,5067,Age group,State/Territory
Jul-Dec,Traffic,NSW,2019,40-64,1647,10450,Age group,State/Territory
Jul-Dec,Traffic,NSW,2019,65-74,453,3882,Age group,State/Territory
Jul-Dec,Traffic,NSW,2019,75+,434,5623,Age group,State/Territory
Jul-Dec,Traffic,NSW,2019,8-16,300,964,Age group,State/Territory
Jul-Dec,Traffic,VIC,2019,0-7,84,214,Age group,State/Territory
Jul-Dec,Traffic,VIC,2019,17-25,996,5510,Age group,State/Territory
Jul-Dec,Traffic,VIC,2019,26-39,1369,4974,Age group,State/Territory
Jul-Dec,Traffic,VIC,2019,40-64,1865,10003,Age group,State/Territory
Jul-Dec,Traffic,VIC,2019,65-74,453,4176,Age group,State/Territory
Jul-Dec,Traffic,VIC,2019,75+,416,4397,Age group,State/Territory
Jul-Dec,Traffic,VIC,2019,8-16,306,1066,Age group,State/Territory
Jul-Dec,Traffic,QLD,2019,0-7,80,169,Age group,State/Territory
Jul-Dec,Traffic,QLD,2019,17-25,1041,3910,Age group,State/Territory
Jul-Dec,Traffic,QLD,2019,26-39,1125,3391,Age group,State/Territory
Jul-Dec,Traffic,QLD,2019,40-64,1580,7746,Age group,State/Territory
Jul-Dec,Traffic,QLD,2019,65-74,368,2441,Age group,State/Territory
Jul-Dec,Traffic,QLD,2019,75+,287,2340,Age group,State/Territory
Jul-Dec,Traffic,QLD,2019,8-16,391,1030,Age group,State/Territory
Jul-Dec,Traffic,WA,2019,0-7,51,259,Age group,State/Territory
Jul-Dec,Traffic,WA,2019,17-25,334,1068,Age group,State/Territory
Jul-Dec,Traffic,WA,2019,26-39,445,1765,Age group,State/Territory
Jul-Dec,Traffic,WA,2019,40-64,639,3786,Age group,State/Territory
Jul-Dec,Traffic,WA,2019,65-74,116,721,Age group,State/Territory
Jul-Dec,Traffic,WA,2019,75+,111,1287,Age group,State/Territory
Jul-Dec,Traffic,WA,2019,8-16,159,434,Age group,State/Territory
Jul-Dec,Traffic,SA,2019,0-7,26,37,Age group,State/Territory
Jul-Dec,Traffic,SA,2019,17-25,258,905,Age group,State/Territory
Jul-Dec,Traffic,SA,2019,26-39,258,1190,Age group,State/Territory
Jul-Dec,Traffic,SA,2019,40-64,400,1939,Age group,State/Territory
Jul-Dec,Traffic,SA,2019,65-74,104,600,Age group,State/Territory
Jul-Dec,Traffic,SA,2019,75+,121,795,Age group,State/Territory
Jul-Dec,Traffic,SA,2019,8-16,69,115,Age group,State/Territory
Jul-Dec,Traffic,TAS,2019,17-25,59,148,Age group,State/Territory
Jul-Dec,Traffic,TAS,2019,26-39,82,340,Age group,State/Territory
Jul-Dec,Traffic,TAS,2019,40-64,97,384,Age group,State/Territory
Jul-Dec,Traffic,TAS,2019,65-74,30,285,Age group,State/Territory
Jul-Dec,Traffic,TAS,2019,75+,24,279,Age group,State/Territory
Jul-Dec,Traffic,ACT,2019,17-25,57,250,Age group,State/Territory
Jul-Dec,Traffic,ACT,2019,26-39,86,206,Age group,State/Territory
Jul-Dec,Traffic,ACT,2019,40-64,97,548,Age group,State/Territory
Jul-Dec,Traffic,ACT,2019,65-74,24,258,Age group,State/Territory
Jul-Dec,Traffic,ACT,2019,75+,18,140,Age group,State/Territory
Jul-Dec,Traffic,NT,2019,0-7,12,54,Age group,State/Territory
Jul-Dec,Traffic,NT,2019,17-25,85,484,Age group,State/Territory
Jul-Dec,Traffic,NT,2019,26-39,82,346,Age group,State/Territory
Jul-Dec,Traffic,NT,2019,40-64,104,780,Age group,State/Territory
Jul-Dec,Traffic,NT,2019,65-74,17,130,Age group,State/Territory
Jul-Dec,Traffic,NT,2019,75+,12,197,Age group,State/Territory
Jul-Dec,Traffic,NT,2019,8-16,24,88,Age group,State/Territory
Jan-Jun,Traffic,NSW,2020,0-7,82,487,Age group,State/Territory
Jan-Jun,Traffic,NSW,2020,17-25,880,3738,Age group,State/Territory
Jan-Jun,Traffic,NSW,2020,26-39,939,3973,Age group,State/Territory
Jan-Jun,Traffic,NSW,2020,40-64,1368,9260,Age group,State/Territory
Jan-Jun,Traffic,NSW,2020,65-74,320,3389,Age group,State/Territory
Jan-Jun,Traffic,NSW,2020,75+,295,4053,Age group,State/Territory
Jan-Jun,Traffic,NSW,2020,8-16,307,1006,Age group,State/Territory
Jan-Jun,Traffic,VIC,2020,0-7,90,185,Age group,State/Territory
Jan-Jun,Traffic,VIC,2020,17-25,958,3655,Age group,State/Territory
Jan-Jun,Traffic,VIC,2020,26-39,1291,5096,Age group,State/Territory
Jan-Jun,Traffic,VIC,2020,40-64,1689,8696,Age group,State/Territory
Jan-Jun,Traffic,VIC,2020,65-74,382,4232,Age group,State/Territory
Jan-Jun,Traffic,VIC,2020,75+,311,4039,Age group,State/Territory
Jan-Jun,Traffic,VIC,2020,8-16,309,1111,Age group,State/Territory
Jan-Jun,Traffic,QLD,2020,0-7,96,184,Age group,State/Territory
Jan-Jun,Traffic,QLD,2020,17-25,910,3446,Age group,State/Territory
Jan-Jun,Traffic,QLD,2020,26-39,975,3798,Age group,State/Territory
Jan-Jun,Traffic,QLD,2020,40-64,1499,5833,Age group,State/Territory
Jan-Jun,Traffic,QLD,2020,65-74,286,1605,Age group,State/Territory
Jan-Jun,Traffic,QLD,2020,75+,196,1966,Age group,State/Territory
Jan-Jun,Traffic,QLD,2020,8-16,325,636,Age group,State/Territory
Jan-Jun,Traffic,WA,2020,0-7,35,64,Age group,State/Territory
Jan-Jun,Traffic,WA,2020,17-25,354,1700,Age group,State/Territory
Jan-Jun,Traffic,WA,2020,26-39,422,2036,Age group,State/Territory
Jan-Jun,Traffic,WA,2020,40-64,572,3825,Age group,State/Territory
Jan-Jun,Traffic,WA,2020,65-74,134,660,Age group,State/Territory
Jan-Jun,Traffic,WA,2020,75+,63,559,Age group,State/Territory
Jan-Jun,Traffic,WA,2020,8-16,124,297,Age group,State/Territory
Jan-Jun,Traffic,SA,2020,0-7,22,59,Age group,State/Territory
Jan-Jun,Traffic,SA,2020,17-25,224,848,Age group,State/Territory
Jan-Jun,Traffic,SA,2020,26-39,272,1348,Age group,State/Territory
Jan-Jun,Traffic,SA,2020,40-64,369,2096,Age group,State/Territory
Jan-Jun,Traffic,SA,2020,65-74,108,1071,Age group,State/Territory
Jan-Jun,Traffic,SA,2020,75+,69,468,Age group,State/Territory
Jan-Jun,Traffic,SA,2020,8-16,107,206,Age group,State/Territory
Jan-Jun,Traffic,TAS,2020,0-7,16,46,Age group,State/Territory
Jan-Jun,Traffic,TAS,2020,17-25,83,300,Age group,State/Territory
Jan-Jun,Traffic,TAS,2020,26-39,75,237,Age group,State/Territory
Jan-Jun,Traffic,TAS,2020,40-64,89,363,Age group,State/Territory
Jan-Jun,Traffic,TAS,2020,65-74,30,230,Age group,State/Territory
Jan-Jun,Traffic,TAS,2020,75+,15,151,Age group,State/Territory
Jan-Jun,Traffic,TAS,2020,8-16,20,46,Age group,State/Territory
Jan-Jun,Traffic,ACT,2020,17-25,39,235,Age group,State/Territory
Jan-Jun,Traffic,ACT,2020,26-39,76,233,Age group,State/Territory
Jan-Jun,Traffic,ACT,2020,40-64,104,653,Age group,State/Territory
Jan-Jun,Traffic,ACT,2020,65-74,24,151,Age group,State/Territory
Jan-Jun,Traffic,ACT,2020,8-16,27,77,Age group,State/Territory
Jan-Jun,Traffic,NT,2020,17-25,81,357,Age group,State/Territory
Jan-Jun,Traffic,NT,2020,26-39,77,329,Age group,State/Territory
Jan-Jun,Traffic,NT,2020,40-64,94,484,Age group,State/Territory
Jan-Jun,Traffic,NT,2020,65-74,21,145,Age group,State/Territory
Jan-Jun,Traffic,NT,2020,8-16,37,54,Age group,State/Territory
Jul-Dec,Traffic,NSW,2020,0-7,69,420,Age group,State/Territory
Jul-Dec,Traffic,NSW,2020,17-25,1037,4223,Age group,State/Territory
Jul-Dec,Traffic,NSW,2020,26-39,1137,5765,Age group,State/Territory
Jul-Dec,Traffic,NSW,2020,40-64,1703,11143,Age group,State/Territory
Jul-Dec,Traffic,NSW,2020,65-74,406,3897,Age group,State/Territory
Jul-Dec,Traffic,NSW,2020,75+,395,5845,Age group,State/Territory
Jul-Dec,Traffic,NSW,2020,8-16,336,1172,Age group,State/Territory
Jul-Dec,Traffic,VIC,2020,0-7,86,179,Age group,State/Territory
Jul-Dec,Traffic,VIC,2020,17-25,959,3784,Age group,State/Territory
Jul-Dec,Traffic,VIC,2020,26-39,1206,4473,Age group,State/Territory
Jul-Dec,Traffic,VIC,2020,40-64,1596,7220,Age group,State/Territory
Jul-Dec,Traffic,VIC,2020,65-74,338,2051,Age group,State/Territory
Jul-Dec,Traffic,VIC,2020,75+,267,2302,Age group,State/Territory
Jul-Dec,Traffic,VIC,2020,8-16,402,914,Age group,State/Territory
Jul-Dec,Traffic,QLD,2020,0-7,137,223,Age group,State/Territory
Jul-Dec,Traffic,QLD,2020,17-25,1273,4361,Age group,State/Territory
Jul-Dec,Traffic,QLD,2020,26-39,1321,4460,Age group,State/Territory
Jul-Dec,Traffic,QLD,2020,40-64,1700,6409,Age group,State/Territory
Jul-Dec,Traffic,QLD,2020,65-74,384,2214,Age group,State/Territory
Jul-Dec,Traffic,QLD,2020,75+,252,1732,Age group,State/Territory
Jul-Dec,Traffic,QLD,2020,8-16,447,983,Age group,State/Territory
Jul-Dec,Traffic,WA,2020,0-7,37,119,Age group,State/Territory
Jul-Dec,Traffic,WA,2020,17-25,339,1515,Age group,State/Territory
Jul-Dec,Traffic,WA,2020,26-39,502,1934,Age group,State/Territory
Jul-Dec,Traffic,WA,2020,40-64,645,3370,Age group,State/Territory
Jul-Dec,Traffic,WA,2020,65-74,123,845,Age group,State/Territory
Jul-Dec,Traffic,WA,2020,75+,124,1424,Age group,State/Territory
Jul-Dec,Traffic,WA,2020,8-16,162,440,Age group,State/Territory
Jul-Dec,Traffic,SA,2020,0-7,8,16,Age group,State/Territory
Jul-Dec,Traffic,SA,2020,17-25,273,954,Age group,State/Territory
Jul-Dec,Traffic,SA,2020,26-39,314,1285,Age group,State/Territory
Jul-Dec,Traffic,SA,2020,40-64,438,2165,Age group,State/Territory
Jul-Dec,Traffic,SA,2020,65-74,116,670,Age group,State/Territory
Jul-Dec,Traffic,SA,2020,75+,103,640,Age group,State/Territory
Jul-Dec,Traffic,SA,2020,8-16,80,354,Age group,State/Territory
Jul-Dec,Traffic,TAS,2020,0-7,10,69,Age group,State/Territory
Jul-Dec,Traffic,TAS,2020,17-25,109,518,Age group,State/Territory
Jul-Dec,Traffic,TAS,2020,26-39,95,379,Age group,State/Territory
Jul-Dec,Traffic,TAS,2020,40-64,132,478,Age group,State/Territory
Jul-Dec,Traffic,TAS,2020,65-74,37,234,Age group,State/Territory
Jul-Dec,Traffic,TAS,2020,75+,26,339,Age group,State/Territory
Jul-Dec,Traffic,TAS,2020,8-16,41,92,Age group,State/Territory
Jul-Dec,Traffic,ACT,2020,17-25,62,135,Age group,State/Territory
Jul-Dec,Traffic,ACT,2020,26-39,98,282,Age group,State/Territory
Jul-Dec,Traffic,ACT,2020,40-64,116,371,Age group,State/Territory
Jul-Dec,Traffic,ACT,2020,65-74,23,83,Age group,State/Territory
Jul-Dec,Traffic,ACT,2020,8-16,29,123,Age group,State/Territory
Jul-Dec,Traffic,NT,2020,17-25,121,420,Age group,State/Territory
Jul-Dec,Traffic,NT,2020,26-39,129,577,Age group,State/Territory
Jul-Dec,Traffic,NT,2020,40-64,138,673,Age group,State/Territory
Jul-Dec,Traffic,NT,2020,65-74,23,172,Age group,State/Territory
Jul-Dec,Traffic,NT,2020,8-16,36,75,Age group,State/Territory
Jan-Jun,Traffic,NSW,2021,0-7,69,301,Age group,State/Territory
Jan-Jun,Traffic,NSW,2021,17-25,980,5037,Age group,State/Territory
Jan-Jun,Traffic,NSW,2021,26-39,1085,4292,Age group,State/Territory
Jan-Jun,Traffic,NSW,2021,40-64,1758,11084,Age group,State/Territory
Jan-Jun,Traffic,NSW,2021,65-74,414,4001,Age group,State/Territory
Jan-Jun,Traffic,NSW,2021,75+,406,5015,Age group,State/Territory
Jan-Jun,Traffic,NSW,2021,8-16,293,1394,Age group,State/Territory
Jan-Jun,Traffic,VIC,2021,0-7,110,201,Age group,State/Territory
Jan-Jun,Traffic,VIC,2021,17-25,1094,4520,Age group,State/Territory
Jan-Jun,Traffic,VIC,2021,26-39,1483,6151,Age group,State/Territory
Jan-Jun,Traffic,VIC,2021,40-64,2046,10917,Age group,State/Territory
Jan-Jun,Traffic,VIC,2021,65-74,464,3505,Age group,State/Territory
Jan-Jun,Traffic,VIC,2021,75+,325,3242,Age group,State/Territory
Jan-Jun,Traffic,VIC,2021,8-16,399,1015,Age group,State/Territory
Jan-Jun,Traffic,QLD,2021,0-7,102,208,Age group,State/Territory
Jan-Jun,Traffic,QLD,2021,17-25,1136,4083,Age group,State/Territory
Jan-Jun,Traffic,QLD,2021,26-39,1225,4127,Age group,State/Territory
Jan-Jun,Traffic,QLD,2021,40-64,1673,6812,Age group,State/Territory
Jan-Jun,Traffic,QLD,2021,65-74,344,2200,Age group,State/Territory
Jan-Jun,Traffic,QLD,2021,75+,281,2495,Age group,State/Territory
Jan-Jun,Traffic,QLD,2021,8-16,366,885,Age group,State/Territory
Jan-Jun,Traffic,WA,2021,0-7,39,136,Age group,State/Territory
Jan-Jun,Traffic,WA,2021,17-25,337,2193,Age group,State/Territory
Jan-Jun,Traffic,WA,2021,26-39,420,2398,Age group,State/Territory
Jan-Jun,Traffic,WA,2021,40-64,597,3227,Age group,State/Territory
Jan-Jun,Traffic,WA,2021,65-74,147,1207,Age group,State/Territory
Jan-Jun,Traffic,WA,2021,75+,113,1007,Age group,State/Territory
Jan-Jun,Traffic,WA,2021,8-16,147,386,Age group,State/Territory
Jan-Jun,Traffic,SA,2021,0-7,26,61,Age group,State/Territory
Jan-Jun,Traffic,SA,2021,17-25,275,869,Age group,State/Territory
Jan-Jun,Traffic,SA,2021,26-39,299,1381,Age group,State/Territory
Jan-Jun,Traffic,SA,2021,40-64,435,1933,Age group,State/Territory
Jan-Jun,Traffic,SA,2021,65-74,138,903,Age group,State/Territory
Jan-Jun,Traffic,SA,2021,75+,82,546,Age group,State/Territory
Jan-Jun,Traffic,SA,2021,8-16,82,365,Age group,State/Territory
Jan-Jun,Traffic,TAS,2021,0-7,5,25,Age group,State/Territory
Jan-Jun,Traffic,TAS,2021,17-25,99,549,Age group,State/Territory
Jan-Jun,Traffic,TAS,2021,26-39,85,290,Age group,State/Territory
Jan-Jun,Traffic,TAS,2021,40-64,127,853,Age group,State/Territory
Jan-Jun,Traffic,TAS,2021,65-74,46,610,Age group,State/Territory
Jan-Jun,Traffic,TAS,2021,75+,35,451,Age group,State/Territory
Jan-Jun,Traffic,TAS,2021,8-16,25,64,Age group,State/Territory
Jan-Jun,Traffic,ACT,2021,17-25,76,136,Age group,State/Territory
Jan-Jun,Traffic,ACT,2021,26-39,109,356,Age group,State/Territory
Jan-Jun,Traffic,ACT,2021,40-64,174,600,Age group,State/Territory
Jan-Jun,Traffic,ACT,2021,65-74,28,121,Age group,State/Territory
Jan-Jun,Traffic,ACT,2021,8-16,27,232,Age group,State/Territory
Jan-Jun,Traffic,NT,2021,17-25,100,443,Age group,State/Territory
Jan-Jun,Traffic,NT,2021,26-39,99,545,Age group,State/Territory
Jan-Jun,Traffic,NT,2021,40-64,105,411,Age group,State/Territory
Jan-Jun,Traffic,NT,2021,65-74,12,131,Age group,State/Territory
Jan-Jun,Traffic,NT,2021,8-16,22,45,Age group,State/Territory
Jul-Dec,Traffic,NSW,2021,0-7,77,353,Age group,State/Territory
Jul-Dec,Traffic,NSW,2021,17-25,782,3657,Age group,State/Territory
Jul-Dec,Traffic,NSW,2021,26-39,871,4411,Age group,State/Territory
Jul-Dec,Traffic,NSW,2021,40-64,1269,7394,Age group,State/Territory
Jul-Dec,Traffic,NSW,2021,65-74,335,2979,Age group,State/Territory
Jul-Dec,Traffic,NSW,2021,75+,301,4203,Age group,State/Territory
Jul-Dec,Traffic,NSW,2021,8-16,363,977,Age group,State/Territory
Jul-Dec,Traffic,VIC,2021,0-7,104,225,Age group,State/Territory
Jul-Dec,Traffic,VIC,2021,17-25,976,3848,Age group,State/Territory
